paymentMethodsCustomerID,customerId,paymentMethodsID
1,1,2
2,1,1
3,1,3
4,2,2
5,2,4
6,2,1
7,3,2
8,4,2
9,5,1
10,5,3
11,5,2
12,5,4
13,6,2
14,6,4
15,7,2
16,7,1
17,7,4
18,8,1
19,9,3
20,9,4
21,10,3
22,10,1
23,10,2
24,10,4
25,11,4
26,12,3
27,12,2
28,13,2
29,13,4
30,13,3
31,13,1
32,14,3
33,14,1
34,14,2
35,15,2
36,15,4
37,16,2
38,16,3
39,16,1
40,16,4
41,17,4
42,17,1
43,17,2
44,17,3
45,18,4
46,18,2
47,18,3
48,19,1
49,20,4
50,20,1
51,20,2
52,20,3
53,21,4
54,22,1
55,23,3
56,23,4
57,23,1
58,23,2
59,24,4
60,24,2
61,25,1
62,25,3
63,25,2
64,26,1
65,26,4
66,26,2
67,26,3
68,27,4
69,28,2
70,28,1
71,28,3
72,28,4
73,29,1
74,29,2
75,30,1
76,30,4
77,31,1
78,31,2
79,32,4
80,32,1
81,33,2
82,33,1
83,33,4
84,33,3
85,34,4
86,34,2
87,34,3
88,34,1
89,35,4
90,35,2
91,36,4
92,36,2
93,37,2
94,38,1
95,39,4
96,40,1
97,40,4
98,41,4
99,42,4
100,42,3
101,42,2
102,42,1
103,43,1
104,44,2
105,44,4
106,44,1
107,44,3
108,45,1
109,45,3
110,45,2
111,45,4
112,46,4
113,46,1
114,47,1
115,47,2
116,47,3
117,47,4
118,48,2
119,49,1
120,50,3
121,50,4
122,50,1
123,51,1
124,51,2
125,51,3
126,51,4
127,52,3
128,53,3
129,53,4
130,53,2
131,54,3
132,55,3
133,55,2
134,55,4
135,55,1
136,56,3
137,57,4
138,57,1
139,57,2
140,57,3
141,58,2
142,58,4
143,58,3
144,59,3
145,60,4
146,60,3
147,61,3
148,61,2
149,62,4
150,63,2
151,64,2
152,65,3
153,66,4
154,66,3
155,67,4
156,67,3
157,67,1
158,67,2
159,68,1
160,68,3
161,68,2
162,69,2
163,69,4
164,70,3
165,70,4
166,71,2
167,71,3
168,72,4
169,72,2
170,72,1
171,72,3
172,73,1
173,74,1
174,75,4
175,76,1
176,76,2
177,76,3
178,77,1
179,77,3
180,77,2
181,77,4
182,78,4
183,79,2
184,79,1
185,79,3
186,80,1
187,81,4
188,81,2
189,82,1
190,83,2
191,83,1
192,84,4
193,84,2
194,84,1
195,85,3
196,86,3
197,86,4
198,87,3
199,87,4
200,87,2
201,87,1
202,88,4
203,88,3
204,88,2
205,88,1
206,89,1
207,89,3
208,90,1
209,90,3
210,90,2
211,90,4
212,91,3
213,91,1
214,92,2
215,93,2
216,94,4
217,94,1
218,94,3
219,94,2
220,95,2
221,95,4
222,95,3
223,96,4
224,96,2
225,96,1
226,97,4
227,98,4
228,98,3
229,98,2
230,99,1
231,99,3
232,99,2
233,99,4
234,100,4
235,101,1
236,101,4
237,102,1
238,103,4
239,104,4
240,105,1
241,105,2
242,105,4
243,106,2
244,107,2
245,107,3
246,108,3
247,109,1
248,109,3
249,109,2
250,109,4
251,110,2
252,111,1
253,111,2
254,111,4
255,111,3
256,112,2
257,113,1
258,113,4
259,114,1
260,114,3
261,115,4
262,116,3
263,116,2
264,116,1
265,117,4
266,117,3
267,118,2
268,118,4
